place,movie_title,rating,year,imdb_id,star_cast
226,The Exorcist,8.026485470918045,1973,70047,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
227,To Be or Not to Be,8.025487839775868,1942,35446,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
228,The Incredibles,8.024937123467788,2004,317705,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
229,La haine,8.023836136138993,1995,113247,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
230,Pirates of the Caribbean: The Curse of the Black Pearl,8.022932691189062,2003,325980,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
231,The Battle of Algiers,8.02263514072598,1966,58946,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
232,Hachi: A Dog's Tale,8.021990073527219,2009,1028532,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
233,Jai Bhim,8.021952068726042,2021,15097216,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
234,The Grapes of Wrath,8.021877014303616,1940,32551,"John Ford (dir.), Henry Fonda, Jane Darwell"
235,My Father and My Son,8.020604910027101,2005,476735,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
236,Amores Perros,8.019975322771135,2000,245712,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
237,Rebecca,8.019932253763592,1940,32976,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
238,Cool Hand Luke,8.0187250453431,1967,61512,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
239,The Handmaiden,8.016596487644753,2016,4016934,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
240,The 400 Blows,8.015340494369656,1959,53198,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
241,The Sound of Music,8.01323254438114,1965,59742,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
242,It Happened One Night,8.012681840952883,1934,25316,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
243,Persona,8.012350397905168,1966,60827,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
244,Life of Brian,8.00969692027879,1979,79470,"Terry Jones (dir.), Graham Chapman, John Cleese"
245,The Iron Giant,8.006142860443283,1999,129167,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
246,Dersu Uzala,8.005577443803494,1975,71411,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
247,The Help,8.005153386420233,2011,1454029,"Tate Taylor (dir.), Viola Davis, Emma Stone"
248,Aladdin,8.004059139892819,1992,103639,"Ron Clements (dir.), Scott Weinger, Robin Williams"
249,Gandhi,8.002241612167245,1982,83987,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
250,Dances with Wolves,8.00146794742888,1990,99348,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell"
